ArticleID,AuthorID
4766,1
2526,2
7406,2
8581,3
10194,3
4384,4
11135,4
5022,5
2714,6
8532,7
5872,8
7343,8
9666,8
11512,8
11641,8
76,9
140,9
418,9
593,9
3103,9
3585,9
3776,9
4774,9
5226,9
5786,9
5859,9
6028,9
8329,9
8430,9
8702,9
10575,9
10600,9
11307,9
11460,9
2906,10
1059,11
6881,11
5900,12
16,13
2681,13
3219,13
2872,14
8134,14
4563,15
6022,15
7840,15
10585,15
3568,17
4185,17
6608,19
6766,19
4868,20
5813,21
2770,23
2965,24
3017,24
4179,24
4200,24
4229,24
4490,24
4529,24
4891,24
5430,24
5875,24
5916,24
7546,24
7625,24
7833,24
8181,24
10193,24
10551,24
10714,24
10825,24
10918,24
5794,25
3675,26
4075,26
11438,26
2199,27
9143,27
4908,28
5089,28
2339,29
2361,29
2402,29
4479,29
7570,29
134,30
350,30
351,30
518,30
4131,30
5160,31
3298,32
3604,33
6384,34
5646,35
8496,35
5607,36
5102,37
5324,37
10264,37
3599,38
4523,38
4625,38
5744,38
9525,38
2670,39
6335,40
4079,41
5243,42
8350,43
4024,44
5458,45
4077,46
4341,46
4604,46
9707,46
6246,47
9602,47
5357,48
5626,48
3683,49
3747,49
4158,49
4321,50
6431,50
10467,50
5610,51
8216,51
10293,51
5356,52
4058,53
8493,54
9932,54
4420,55
7059,55
6308,56
6152,57
4350,58
6391,59
2966,60
5407,61
5596,61
7954,62
6013,64
10164,64
3671,65
5685,65
496,67
2594,67
2634,67
3120,67
4251,67
4449,67
4466,67
5420,67
7519,67
7602,67
7642,67
7821,67
8087,67
8099,67
8118,67
279,69
6361,69
10449,69
2267,70
2628,70
7109,70
2360,71
11328,71
8108,72
3549,73
9342,73
2463,74
4855,74
5568,74
6128,74
6861,74
7198,74
8034,74
9302,74
11053,74
7082,75
5115,76
607,79
5363,79
8898,79
7728,80
3755,81
4283,81
5305,81
7723,81
5971,82
8140,82
3009,83
3249,83
4901,84
2650,85
2506,86
6486,86
7044,86
7117,86
7448,86
8074,86
3109,87
4395,88
11007,88
11150,88
11707,88
2288,89
8145,89
8682,89
2945,91
3304,91
5054,91
10184,91
1341,92
6884,92
6961,92
7829,92
6977,93
3053,94
4769,94
6996,94
10952,94
